Starred,"[datetime.datetime(2022, 10, 1, 2, 30, 23, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
Releases,
Taggers,
Reactions,
Watcher,True
AssigneeIssues,False
AuthorIssue,"[datetime.datetime(2022, 3, 16, 22, 38, 48, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
EditorIssue,"[datetime.datetime(2022, 3, 16, 22, 40, 54, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
ParticipantIssue,True
AssigneePullRequest,False
AuthorPullRequest,
EditorPullRequest,
ParticipantPullRequest,False
Merged,
SuggestedReviewer,False
