Starred,"[datetime.datetime(2017, 12, 17, 2, 6, 32, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
Releases,
Taggers,
Reactions,
Watcher,False
AssigneeIssues,False
AuthorIssue,
EditorIssue,
ParticipantIssue,False
AssigneePullRequest,False
AuthorPullRequest,"[datetime.datetime(2017, 12, 13, 15, 21, 16, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
EditorPullRequest,"[datetime.datetime(2017, 12, 13, 15, 21, 45, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
ParticipantPullRequest,True
Merged,
SuggestedReviewer,False
