"1","AuthorIssue","2017-01-17T12:11:19-03:00"
"2","AuthorIssue","2017-01-17T15:28:03-03:00"
"3","AuthorIssue","2017-01-30T19:23:08-03:00"
"4","EditorIssue","2017-01-30T19:23:42-03:00"
"5","Starred",""
"6","Releases",""
"7","Taggers",""
"8","Reactions",""
"9","AuthorPullRequest",""
"10","EditorPullRequest",""
"11","Merged",""
"12","Watcher","False"
"13","AssigneeIssues","False"
"14","ParticipantIssue","True"
"15","AssigneePullRequest","False"
"16","ParticipantPullRequest","False"
"17","SuggestedReviewer","False"
