Starred,
Releases,
Taggers,
Reactions,"[datetime.datetime(2020, 8, 25, 17, 20, 4, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2020, 8, 25, 17, 20, 4, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2020, 9, 7, 14, 46, 58, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
Watcher,False
AssigneeIssues,False
AuthorIssue,"[datetime.datetime(2020, 8, 3, 17, 21, 28, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2020, 9, 7, 13, 55, 27, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2020, 9, 11, 17, 57, 42, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
EditorIssue,"[datetime.datetime(2020, 8, 3, 17, 21, 56, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
ParticipantIssue,True
AssigneePullRequest,False
AuthorPullRequest,"[datetime.datetime(2020, 8, 5, 14, 35, 40, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2020, 8, 24, 17, 53, 7, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
EditorPullRequest,"[datetime.datetime(2020, 8, 24, 18, 3, 27, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
ParticipantPullRequest,True
Merged,
SuggestedReviewer,False
