"1","AuthorIssue","2019-08-25T05:25:04-04:00"
"2","AuthorIssue","2020-09-22T08:16:33-04:00"
"3","AuthorIssue","2020-09-30T14:22:53-04:00"
"4","AuthorIssue","2020-10-11T16:44:12-04:00"
"5","Starred",""
"6","Releases",""
"7","Taggers",""
"8","Reactions",""
"9","EditorIssue",""
"10","AuthorPullRequest",""
"11","EditorPullRequest",""
"12","Merged",""
"13","Watcher","False"
"14","AssigneeIssues","False"
"15","ParticipantIssue","True"
"16","AssigneePullRequest","False"
"17","ParticipantPullRequest","False"
"18","SuggestedReviewer","False"
