"1","Starred","2019-04-16T16:50:58-04:00"
"2","AuthorPullRequest","2019-04-16T18:46:16-04:00"
"3","AuthorPullRequest","2019-08-07T23:02:18-04:00"
"4","AuthorPullRequest","2019-09-15T10:58:44-04:00"
"5","Releases",""
"6","Taggers",""
"7","Reactions",""
"8","AuthorIssue",""
"9","EditorIssue",""
"10","EditorPullRequest",""
"11","Merged",""
"12","Watcher","False"
"13","AssigneeIssues","False"
"14","ParticipantIssue","True"
"15","AssigneePullRequest","False"
"16","ParticipantPullRequest","True"
"17","SuggestedReviewer","False"
