"1","AuthorPullRequest","2017-09-24T09:25:05-04:00"
"2","AuthorPullRequest","2018-01-13T14:32:39-03:00"
"3","EditorPullRequest","2018-01-13T14:33:41-03:00"
"4","Reactions","2018-02-01T15:06:43-03:00"
"5","AuthorPullRequest","2018-02-09T06:53:31-03:00"
"6","AuthorPullRequest","2018-02-28T16:09:04-04:00"
"7","Starred",""
"8","Releases",""
"9","Taggers",""
"10","AuthorIssue",""
"11","EditorIssue",""
"12","Merged",""
"13","Watcher","False"
"14","AssigneeIssues","False"
"15","ParticipantIssue","True"
"16","AssigneePullRequest","False"
"17","ParticipantPullRequest","True"
"18","SuggestedReviewer","False"
