Starred,"[datetime.datetime(2017, 1, 31, 17, 45, 55, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
Releases,
Taggers,
Reactions,"[datetime.datetime(2019, 4, 30, 12, 46, 29, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
Watcher,False
AssigneeIssues,False
AuthorIssue,"[datetime.datetime(2017, 5, 4, 11, 15, 49, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
EditorIssue,
ParticipantIssue,True
AssigneePullRequest,False
AuthorPullRequest,
EditorPullRequest,
ParticipantPullRequest,False
Merged,
SuggestedReviewer,False
